Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Country,Currency,Market Currency,FX Rate
35720,KAKAO CORP,Equity,0.74,118.2,"262,317.00","31,006,164.93",-,Information Technology,6194037,KR7035720002,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
10950,S-OIL CORP,Equity,0.72,114.05,"267,725.00","30,532,863.15",-,Energy,6406055,KR7010950004,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
9150,SAMSUNG ELECTRO MECHANICS LTD,Equity,0.69,85.51,"339,111.00","28,997,763.97",-,Information Technology,6771689,KR7009150004,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
215600,SILLAJEN INC,Equity,0.68,94.56,"301,331.00","28,494,130.94",-,-,BYYNHB2,KR7215600008,Korea Exchange (Kosdaq),Korea (South),USD,KRW,"1,082.90"
17670,SK TELECOM LTD,Equity,0.62,221.63,"117,411.00","26,021,460.89",-,Telecommunication Services,6224871,KR7017670001,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
21240,COWAY LTD,Equity,0.59,79.97,"309,997.00","24,790,599.50",-,Consumer Discretionary,6173401,KR7021240007,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
24110,INDUSTRIAL BANK OF KOREA,Equity,0.58,15.88,"1,537,071.00","24,413,723.52",-,Financials,6462972,KR7024110009,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
10130,KOREA ZINC INC,Equity,0.57,472.8,"50,812.00","24,024,142.58",-,Materials,6495428,KR7010130003,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
-,CELLTRION HEALT,-,0.57,110.44,"217,288.00","23,998,194.48",-,Health Care,BYZ6DH8,KR7091990002,-,KO,USD,KRW,"1,082.90"
161390,HANKOOK TIRE LTD,Equity,0.57,54.48,"439,914.00","23,967,980.42",-,Consumer Discretionary,B7T5KQ0,KR7161390000,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
267250,HYUNDAI ROBOTICS LTD,Equity,0.57,408.63,"58,551.00","23,925,401.70",-,Information Technology,BD4HFT1,9267601,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
4020,HYUNDAI STEEL,Equity,0.55,49.5,"467,435.00","23,136,500.14",-,Materials,6461850,KR7004020004,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
