,Adj Close,Close,High,Low,Name,Open,Volume
2017-02-15,228.536102,230.57000699999998,231.33999599999999,227.559998,ADS,228.80000299999998,324900.0
2017-02-16,229.368668,231.41000400000001,231.960007,229.940002,ADS,231.49000499999997,363300.0
2017-02-17,232.96666000000002,235.039993,235.13999900000002,230.24000499999997,ADS,231.17999300000002,713900.0
2017-02-21,237.347687,239.460007,239.91000400000001,230.88000499999998,ADS,234.479996,640700.0
2017-02-22,237.75405899999998,239.86999500000002,241.41000400000001,236.38000499999998,ADS,238.16000400000001,440700.0
2017-02-23,240.28155499999997,242.419998,243.520004,239.27999900000003,ADS,240.58999599999999,653400.0
2017-02-24,242.65048199999998,244.809998,245.11000099999998,239.82000699999998,ADS,242.0,762300.0
2017-02-27,244.593216,246.770004,247.479996,243.83999599999999,ADS,244.809998,736100.0
2017-02-28,240.83662400000003,242.979996,247.16000400000001,242.16000400000001,ADS,247.13000499999998,922700.0
2017-03-01,245.43568399999998,247.61999500000002,249.22000099999997,243.38999900000002,ADS,244.66000400000001,622000.0
2017-03-02,241.788162,243.940002,248.75999500000003,243.690002,ADS,247.74000499999997,468400.0
2017-03-03,242.472076,244.63000499999998,245.419998,242.020004,ADS,243.38999900000002,777000.0
2017-03-06,243.284821,245.44999700000002,246.61999500000002,240.63999900000002,ADS,242.580002,514400.0
2017-03-07,242.888367,245.05000299999998,245.92999300000002,243.539993,ADS,245.80000299999998,343500.0
2017-03-08,244.01831099999998,246.190002,248.809998,244.58999599999999,ADS,246.08999599999999,386500.0
2017-03-09,245.74295,247.92999300000002,248.61000099999998,245.30000299999998,ADS,246.399994,382600.0
2017-03-10,246.01057400000002,248.19999700000002,251.190002,247.11000099999998,ADS,249.0,494900.0
2017-03-13,245.63392599999997,247.82000699999998,249.940002,247.440002,ADS,248.77999900000003,298200.0
2017-03-14,243.36412,245.52999900000003,246.97000099999997,244.190002,ADS,246.539993,593500.0
2017-03-15,243.38395699999998,245.55000299999998,246.850006,241.49000499999997,ADS,246.38999900000002,774100.0
2017-03-16,242.92800899999997,245.08999599999999,246.789993,243.600006,ADS,246.17999300000002,389500.0
2017-03-17,242.84870899999999,245.00999500000003,246.669998,244.36999500000002,ADS,245.600006,685200.0
2017-03-20,242.382843,244.539993,246.020004,243.399994,ADS,245.520004,504100.0
2017-03-21,237.17915299999999,239.289993,246.039993,239.00999500000003,ADS,244.210007,693600.0
2017-03-22,238.74522400000004,240.86999500000002,242.24000499999997,239.00999500000003,ADS,239.44999700000002,333100.0
2017-03-23,240.77714500000002,242.919998,244.77999900000003,240.649994,ADS,240.899994,372200.0
2017-03-24,241.639465,243.789993,245.69999700000002,242.05000299999998,ADS,244.22000099999997,341400.0
2017-03-27,241.282654,243.42999300000002,244.330002,238.600006,ADS,241.41000400000001,617600.0
2017-03-28,242.54144300000002,244.69999700000002,245.539993,242.57000699999998,ADS,242.99000499999997,502200.0
2017-03-29,243.16589399999998,245.330002,245.63999900000002,243.49000499999997,ADS,244.61999500000002,272300.0
2017-03-30,246.68457,248.88000499999998,249.42999300000002,244.710007,ADS,245.330002,455900.0
2017-03-31,246.80352799999997,249.0,250.0,247.92999300000002,ADS,248.75999500000003,500200.0
2017-04-03,248.12177999999997,250.330002,251.25999500000003,247.229996,ADS,249.75,732700.0
2017-04-04,248.75613399999997,250.97000099999997,253.30000299999998,248.960007,ADS,249.19999700000002,968400.0
2017-04-05,248.052399,250.25999500000003,254.940002,249.77999900000003,ADS,251.69999700000002,629900.0
2017-04-06,251.12507599999998,253.36000099999998,254.72000099999997,250.100006,ADS,250.960007,422200.0
2017-04-07,248.82551600000002,251.039993,254.19999700000002,250.86000099999998,ADS,252.19999700000002,551000.0
2017-04-10,245.47534199999998,247.66000400000001,252.16000400000001,247.350006,ADS,250.309998,607500.0
2017-04-11,236.23754900000003,238.33999599999999,246.42999300000002,235.08999599999999,ADS,245.00999500000003,1828400.0
2017-04-12,236.792618,238.899994,241.42999300000002,238.270004,ADS,238.33999599999999,677000.0
2017-04-13,232.837814,234.91000400000001,238.979996,234.77999900000003,ADS,238.61999500000002,484500.0
2017-04-17,236.406052,238.50999500000003,239.86000099999998,235.47000099999997,ADS,236.580002,591800.0
2017-04-18,235.90054300000003,238.0,239.979996,236.710007,ADS,237.960007,497300.0
2017-04-19,238.517258,240.63999900000002,241.22000099999997,236.22000099999997,ADS,238.72000099999997,799500.0
2017-04-20,258.321014,260.619995,263.399994,248.419998,ADS,251.94999700000002,1399500.0
2017-04-21,257.220795,259.51001,266.25,258.480011,ADS,261.0,1091200.0
2017-04-24,258.56881699999997,260.869995,263.950012,260.609985,ADS,263.649994,756400.0
2017-04-25,260.68994100000003,263.01001,264.230011,261.27999900000003,ADS,261.450012,478000.0
2017-04-26,260.0159,262.329987,263.72000099999997,261.589996,ADS,262.920013,358800.0
2017-04-27,258.24172999999996,260.540009,262.839996,260.070007,ADS,262.839996,408700.0
2017-04-28,247.427979,249.63000499999998,259.5,243.63999900000002,ADS,259.230011,1827200.0
2017-05-01,251.244003,253.479996,254.16000400000001,248.520004,ADS,249.97000099999997,691800.0
2017-05-02,253.642639,255.899994,255.979996,251.75999500000003,ADS,253.17999300000002,697900.0
